Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,FindACopy,Database
Cumberland County inmate quarantined and being tested The man was being held on a probation violation for traffic offenses.,,2379347975,Newspapers,"Gray, Megan",," Copyright Portland Newspapers Mar 20, 2020", News," Mar 20, 2020",2689-5900, English, English,," Portland, Me.","Mar 20, 2020",Portland Press Herald,2020,https://www.proquest.com/newspapers/cumberland-county-inmate-quarantined-being-tested/docview/2379347975/se-2?accountid=8505,,,, B.2,," Prisons , Coronaviruses , Imprisonment , Quarantine , COVID-19 , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Cumberland+County+inmate+quarantined+and+being+tested+The+man+was+being+held+on+a+probation+violation+for+traffic+offenses.&amp;rft.au=Gray%2C+Megan&amp;rft.aulast=Gray&amp;rft.aufirst=Megan&amp;rft.date=2020-03-20&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
"Bowdoinham teenager gets 27 years in prison for killing his grandmother Dominic Sylvester, who was 16 when he committed the crime, will be on probation for 8 years after his release.",,2375650989,Newspapers,"Gray, Megan", Department of Health & Human Services," Copyright Portland Newspapers Mar 11, 2020", News," Mar 11, 2020",2689-5900, English, English,," Portland, Me.","Mar 11, 2020",Portland Press Herald,2020,https://www.proquest.com/newspapers/bowdoinham-teenager-gets-27-years-prison-killing/docview/2375650989/se-2?accountid=8505,,,, A.1,," Criminal sentences , Testimony , Court hearings & proceedings , Murders & murder attempts , Physical restraints , Parole & probation , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Bowdoinham+teenager+gets+27+years+in+prison+for+killing+his+grandmother+Dominic+Sylvester%2C+who+was+16+when+he+committed+the+crime%2C+will+be+on+probation+for+8+years+after+his+release.&amp;rft.au=Gray%2C+Megan&amp;rft.aulast=Gray&amp;rft.aufirst=Megan&amp;rft.date=2020-03-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Officer accuses Lisbon man of second probation violation,,2358154799,Newspapers,"Williams, Christopher",," Copyright Sun Journal Feb 19, 2020", News," Feb 19, 2020",, English, English,," Lewiston, Me.","Feb 19, 2020",Sun Journal,2020,https://www.proquest.com/newspapers/officer-accuses-lisbon-man-second-probation/docview/2358154799/se-2?accountid=8505,,,, n/a,," Criminal sentences , Court hearings & proceedings , Criminal investigations , Murders & murder attempts , Manslaughter , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Officer+accuses+Lisbon+man+of+second+probation+violation&amp;rft.au=Williams%2C+Christopher&amp;rft.aulast=Williams&amp;rft.aufirst=Christopher&amp;rft.date=2020-02-19&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Brothers given probation for helping fugitive pot grower in Turner,,2344455421,Newspapers,"Williams, Christopher"," District Court-US , Daimler AG"," Copyright Sun Journal Jan 24, 2020", News," Jan 24, 2020",, English, English,," Lewiston, Me.","Jan 24, 2020",Sun Journal,2020,https://www.proquest.com/newspapers/brothers-given-probation-helping-fugitive-pot/docview/2344455421/se-2?accountid=8505,,,, n/a,," Criminal pleas , Hotels & motels , Medical marijuana , Criminal sentences , Indictments , Search warrants , Raids , Criminal intent , United States--US , Maine , Florida , North Carolina",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Brothers+given+probation+for+helping+fugitive+pot+grower+in+Turner&amp;rft.au=Williams%2C+Christopher&amp;rft.aulast=Williams&amp;rft.aufirst=Christopher&amp;rft.date=2020-01-24&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Massachusetts man gets probation after buying pot from Lewiston dealer,,2344087160,Newspapers,"Williams, Christopher"," State Police-New Hampshire , District Court-US"," Copyright Sun Journal Jan 23, 2020", News," Jan 23, 2020",, English, English,," Lewiston, Me.","Jan 23, 2020",Sun Journal,2020,https://www.proquest.com/newspapers/massachusetts-man-gets-probation-after-buying-pot/docview/2344087160/se-2?accountid=8505,,,, n/a,," Medical marijuana , Criminal sentences , Indictments , Drug legalization , Public prosecutors , New Hampshire , United States--US , Massachusetts , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Massachusetts+man+gets+probation+after+buying+pot+from+Lewiston+dealer&amp;rft.au=Williams%2C+Christopher&amp;rft.aulast=Williams&amp;rft.aufirst=Christopher&amp;rft.date=2020-01-23&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Judge puts Poland man on probation in ‘rare’ drug case,,2323271034,Newspapers,"Williams, Christopher", District Court-US," Copyright Sun Journal Dec 10, 2019", News," Dec 10, 2019",, English, English,," Lewiston, Me.","Dec 10, 2019",Sun Journal,2019,https://www.proquest.com/newspapers/judge-puts-poland-man-on-probation-rare-drug-case/docview/2323271034/se-2?accountid=8505,,,, n/a,," Autism , Criminal sentences , Court hearings & proceedings , State court decisions , Judges & magistrates , Poland , United States--US , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Judge+puts+Poland+man+on+probation+in+%26lsquo%3Brare%26rsquo%3B+drug+case&amp;rft.au=Williams%2C+Christopher&amp;rft.aulast=Williams&amp;rft.aufirst=Christopher&amp;rft.date=2019-12-10&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
"Brunswick producer says her film helped parole convicted murderers Louise Rosen, part of a team that created the 2017 documentary ""Killing for Love,"" believes that Jens Soering, one of the two people convicted of murdering a Virginia couple in 1985, is innocent.",,2318434018,Newspapers,"Russell, Eric", University of Virginia," Copyright Portland Newspapers Nov 27, 2019", News," Nov 27, 2019",2689-5900, English, English,," Portland, Me.","Nov 27, 2019",Portland Press Herald,2019,https://www.proquest.com/newspapers/brunswick-producer-says-her-film-helped-parole/docview/2318434018/se-2?accountid=8505,,,, B.2,," Criminal sentences , Parole boards , Convictions , Documentary films , Motion picture directors & producers , Murders & murder attempts , Stabbings , Virginia , Canada , Maine , Germany",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Brunswick+producer+says+her+film+helped+parole+convicted+murderers+Louise+Rosen%2C+part+of+a+team+that+created+the+2017+documentary+%26quot%3BKilling+for+Love%2C%26quot%3B+believes+that+Jens+Soering%2C+one+of+the+two+people+convicted+of+murdering+a+Virginia+couple+in+1985%2C+is+innocent.&amp;rft.au=Russell%2C+Eric&amp;rft.aulast=Russell&amp;rft.aufirst=Eric&amp;rft.date=2019-11-27&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
"Vermont man gets probation, fine for buying Maine pot",,2314143061,Newspapers,"Williams, Christopher"," State Police-Maine , District Court-US"," Copyright Sun Journal Nov 13, 2019", News," Nov 13, 2019",, English, English,," Lewiston, Me.","Nov 13, 2019",Sun Journal,2019,https://www.proquest.com/newspapers/vermont-man-gets-probation-fine-buying-maine-pot/docview/2314143061/se-2?accountid=8505,,,, n/a,," Criminal pleas , State court decisions , Marijuana , Criminal intent , United States--US , Vermont , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Vermont+man+gets+probation%2C+fine+for+buying+Maine+pot&amp;rft.au=Williams%2C+Christopher&amp;rft.aulast=Williams&amp;rft.aufirst=Christopher&amp;rft.date=2019-11-13&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
"Kennebunkport doctor's license placed on probation after complaint Dr. Calvin Fuhrmann overprescribed drugs to a man struggling with addiction, the complaint alleges.",,2292714270,Newspapers,"Ohm, Rachel", Twitter Inc," Copyright Portland Newspapers Sep 19, 2019", News," Sep 19, 2019",2689-5900, English, English,," Portland, Me.","Sep 19, 2019",Portland Press Herald,2019,https://www.proquest.com/newspapers/kennebunkport-doctors-license-placed-on-probation/docview/2292714270/se-2?accountid=8505,,,, B.2,," Consent decrees , Family medical history , Addictions , Decision making , Parole & probation , Narcotics , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Kennebunkport+doctor%27s+license+placed+on+probation+after+complaint+Dr.+Calvin+Fuhrmann+overprescribed+drugs+to+a+man+struggling+with+addiction%2C+the+complaint+alleges.&amp;rft.au=Ohm%2C+Rachel&amp;rft.aulast=Ohm&amp;rft.aufirst=Rachel&amp;rft.date=2019-09-19&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
"Presumpscot parents right to oppose probation office Blame a process that allows a probation office to move next to a school, not the parents.",,2286211255,Newspapers,,," Copyright Portland Newspapers Sep 8, 2019", News," Sep 8, 2019",2689-5900, English, English,," Portland, Me.","Sep 8, 2019",Portland Press Herald,2019,https://www.proquest.com/newspapers/presumpscot-parents-right-oppose-probation-office/docview/2286211255/se-2?accountid=8505,,,, D.4,," Editorials , Sex offenders , Correctional treatment programs , Parole & probation , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Presumpscot+parents+right+to+oppose+probation+office+Blame+a+process+that+allows+a+probation+office+to+move+next+to+a+school%2C+not+the+parents.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2019-09-08&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=D.4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
"To keep kids safe, focus on real dangers Closing a probation office in Portland is not the right way to fight child abuse.",,2280305886,Newspapers,,," Copyright Portland Newspapers Aug 27, 2019", News," Aug 27, 2019",2689-5900, English, English,," Portland, Me.","Aug 27, 2019",Portland Press Herald,2019,https://www.proquest.com/newspapers/keep-kids-safe-focus-on-real-dangers-closing/docview/2280305886/se-2?accountid=8505,,,, A.1,," Parents & parenting , Families & family life , Sex offenders , Children & youth , Sex crimes , Parole & probation , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=To+keep+kids+safe%2C+focus+on+real+dangers+Closing+a+probation+office+in+Portland+is+not+the+right+way+to+fight+child+abuse.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2019-08-27&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
